EIN,OrgName,State,City,ZIP,TaxYear,TaxPeriodEnd,FormType,FormationYr,Mission,Employees,Volunteers,GrossReceipts,TotalRevenueCY,TotalRevenuePY,ContributionsGrantsCY,ContributionsGrantsPY,ProgramServiceRevCY,ProgramServiceRevPY,InvestmentIncomeCY,OtherRevenueCY,GovernmentGrantsAmt,TotalExpensesCY,TotalExpensesPY,SalariesCY,FundraisingExpCY,ProgramSvcExpenses,NetRevenueCY,NetRevenuePY,TotalAssetsEOY,TotalAssetsBOY,TotalLiabilitiesEOY,TotalLiabilitiesBOY,NetAssetsEOY,NetAssetsBOY,SourceFile
752809679,CANTON PROPERTIES INC,TX,LAKEWAY,78734,2017,2018-09-30,990,1999,"TO DEVELOP AND/OR REHABILITATE OR ACQUIRE HOUSING FOR LOW AND VERY-LOW INCOME INDIVIDUALS. ORGANIZATION IS DEDICATED TO CREATING AN ENVIRONMENT OF SAFETY AND DECENCY IN AREAS AND COMMUNITIES WHERE THERE IS A CONCENTRATION OF LOW AND VERY-LOW INCOME INDIVIDUALS AND FAMILIES WHO NEED A SAFE, AFFORDABLE DOMINION.",0.0,0.0,2189303.0,2189303.0,2206948.0,0.0,0.0,2184423.0,2205458.0,4880.0,0.0,,2082733.0,2144546.0,305742.0,0.0,1873461.0,106570.0,62402.0,8473592.0,8542363.0,12677020.0,12852361.0,-4203428.0,-4309998.0,201900089349300765_public.xml
720685639,BOWLING GREEN SCHOOL INC,LA,FRANKLINTON,70438,2017,2018-05-31,990,1969,PROVIDE EDUCATION FOR PRE-K THROUGH GRADE 12,77.0,,1964208.0,1940331.0,1982147.0,78606.0,145846.0,1546076.0,1572956.0,10308.0,305341.0,78606.0,1960817.0,1828385.0,1333378.0,0.0,1915336.0,-20486.0,153762.0,1871329.0,1888483.0,553422.0,585273.0,1317907.0,1303210.0,201900089349300825_public.xml
452905951,NASHVILLE FOOD PROJECT INC,TN,NASHVILLE,37215,2017,2017-12-31,990,2011,"THE NASHVILLE FOOD PROJECT BRINGS PEOPLE TOGETHER TO GROW, COOK, AND SHARE NOURISHING FOOD, WITH THE GOALS OF CULTIVATING COMMUNITY AND ALLEVIATING HUNGER IN OUR CITY.",24.0,4500.0,3707847.0,3675146.0,1112691.0,3440466.0,988531.0,185135.0,84826.0,75.0,49470.0,,1382059.0,980877.0,625858.0,188306.0,1091986.0,2293087.0,131814.0,2894779.0,611276.0,21014.0,30598.0,2873765.0,580678.0,201900089349301085_public.xml
920064393,YOUTH ADVOCATES OF SITKA,AK,SITKA,99835,2017,2018-06-30,990,1978,OPERATION OF A RESIDENTIAL CARE FACILITY FOR YOUTHS 10 TO 19 YEARS OF AGE,59.0,,1222691.0,1222691.0,1360138.0,347886.0,352693.0,874720.0,1002752.0,85.0,0.0,316745.0,1283376.0,1274386.0,926729.0,0.0,1283376.0,-60685.0,85752.0,1523010.0,1589759.0,161700.0,167764.0,1361310.0,1421995.0,201900089349301145_public.xml
300124161,GUARDIAN AD LITEM SERVICES INC,CT,NAUGATUCK,06770,2017,2018-06-30,990,2002,SUPPORTIVE SERVICES FOR DISABLED INDIVIDUALS,26.0,,1050356.0,1050356.0,1586414.0,993911.0,1580739.0,26445.0,5675.0,0.0,30000.0,951826.0,1077099.0,1634582.0,838425.0,0.0,937078.0,-26743.0,-48168.0,119923.0,37356.0,133129.0,23819.0,-13206.0,13537.0,201900089349301460_public.xml
460224731,LUTHERAN SOCIAL SERVICES OF SOUTH DAKOTA,SD,SIOUX FALLS,571056048,2017,2018-06-30,990,1920,"PROVIDE SOCIAL SERVICES FOR PEOPLE OF ALL AGES, RACES, FAITHS, & ECONOMIC LEVELS IN SD.",698.0,1926.0,21225297.0,21172033.0,22809724.0,5720456.0,7747368.0,15276326.0,14697952.0,28827.0,146424.0,3322278.0,21513448.0,21701833.0,14283666.0,1087210.0,18143170.0,-341415.0,1107891.0,18033838.0,19419926.0,7435661.0,8559909.0,10598177.0,10860017.0,201900089349301890_public.xml
660579504,RICKY MARTIN FOUNDATION CORP,PR,SAN JUAN,009083534,2017,2017-12-31,990,2000,"The Ricky Martin Foundation advocates for denounce human trafficking and educate about its existence through research and community initiatives, anchored in the defense of children and youth rights.",7.0,200.0,4952068.0,4952068.0,841455.0,739870.0,731143.0,4212198.0,97338.0,0.0,0.0,0.0,1419505.0,1560885.0,308501.0,238092.0,1066796.0,3532563.0,-719430.0,7323145.0,3621201.0,218913.0,48908.0,7104232.0,3572293.0,201900089349301950_public.xml
770121197,BAKERSFIELD CHRISTIAN HIGH SCHOOL,CA,BAKERSFIELD,93314,2017,2018-06-30,990,1979,"TO OFFER OUR COMMUNITY A NON-DENOMINATIONAL SCHOOL OF EXCELLENCE, PROVIDING A BIBLICALLY-BASED EDUCATION FOR STUDENTS FROM GRADES 9-12. THIS IS A COLLEGE PREPARATORY HIGH SCHOOL. OVER 95% OF OUR STUDENTS GO ON TO COLLEGE.",141.0,175.0,9387516.0,9168139.0,8643655.0,1092231.0,988876.0,7935355.0,7555161.0,32419.0,108134.0,,9080024.0,8572670.0,5346735.0,303666.0,5381431.0,88115.0,70985.0,21720067.0,23475284.0,2128190.0,3983403.0,19591877.0,19491881.0,201900089349302260_public.xml
570694183,CHARLESTON STAGE COMPANY INC,SC,CHARLESTON,29402,2017,2018-04-30,990,1980,WORKING WITH THE COMMUNITY TO PERFORM PROFESSIONAL QUALITY THEATRICAL PRODUCTIONS FOR ALL AGES BASED ON CLASSICAL AND ORIGINAL LITERATURE.,66.0,15.0,2790491.0,2747596.0,2050529.0,1004130.0,603517.0,1726972.0,1441377.0,78.0,16416.0,,2241692.0,2119468.0,940083.0,220450.0,1654588.0,505904.0,-68939.0,1129808.0,303284.0,744527.0,423907.0,385281.0,-120623.0,201900099349300700_public.xml
361412810,LYDIA HOME ASSOCIATION,IL,CHICAGO,60641,2017,2018-06-30,990,1916,STRENGTHENING FAMILIES TO CARE FOR CHILDREN AND CARING FOR CHILDREN WHEN FAMILIES CANNOT.,140.0,700.0,6997583.0,6437243.0,5894077.0,706436.0,823109.0,5173518.0,5063726.0,624841.0,-67552.0,,5932280.0,6839047.0,4483660.0,207581.0,5086694.0,504963.0,-944970.0,2744924.0,2460251.0,570805.0,744374.0,2174119.0,1715877.0,201900099349300810_public.xml
341749288,Mercy Unlimited Inc,OH,Wapakoneta,45895,2017,2018-09-30,990,,TO REFLECT THE LOVE OF CHRIST BY MINISTERING UNTO THOSE WHO ARE HUNGRY THIRSTY HOMELESS IN NEED OF CLOTHING SICK AND IMPRISONED,17.0,30.0,1202794.0,1202794.0,1282432.0,1033085.0,1114331.0,0.0,,0.0,169709.0,,1125444.0,1359868.0,217662.0,0.0,159645.0,77350.0,-77436.0,589061.0,472061.0,46097.0,60335.0,542964.0,411726.0,201900099349301300_public.xml
720471368,LOUISIANA SOCIETY FOR THE PREVENTION OF,LA,NEW ORLEANS,70114,2017,2017-12-31,990,1888,DEDICATED TO THE ELIMINATION OF ANIMAL SUFFERING BY PROVIDING CARE AND BASIC MEDICAL SERVICES TO HOMELESS AND UNWANTED ANIMALS.,162.0,1400.0,8672843.0,7904862.0,6881294.0,3729341.0,2351492.0,3675821.0,4002682.0,1000.0,498700.0,,7776114.0,8212256.0,4281517.0,733299.0,6987743.0,128748.0,-1330962.0,25369601.0,25502363.0,578729.0,665635.0,24790872.0,24836728.0,201900099349301400_public.xml
730632928,THE NINETY-NINES INC,OK,OKLAHOMA CITY,73159,2017,2018-05-31,990,1950,"THE NINETY-NINES' MISSION IS TO PROMOTE WORLD FELLOWSHIP THROUGH FLIGHT, PROVIDE NETWORKING AND SCHOLARSHIP OPPORTUNITIES FOR WOMEN AND AVIATION EDUCATION IN THE COMMUNITY, AND PRESERVE THE UNIQUE HISTORY OF WOMEN IN AVIATION.",13.0,200.0,1797135.0,1199505.0,931404.0,564220.0,453706.0,56578.0,40190.0,488253.0,90454.0,,908512.0,890296.0,168920.0,72423.0,458021.0,290993.0,41108.0,10143985.0,9972251.0,360336.0,400224.0,9783649.0,9572027.0,201900109349300210_public.xml
320348328,PENN CHRISTIAN ACADEMY OF BUTLER COUNTY INC,PA,BUTLER,16002,2017,2018-06-30,990,2015,"THE SCHOOL'S MISSION IS TO PARTNER WITH THE HOME AND CHURCH TO PROVIDE AN ENGAGING, BIBLICALLY INTEGRATED EDUCATION EXPERIENCE AND LEADERSHIP CULTURE THAT ENSURES THE GROWTH OF EVERY STUDENT.",58.0,0.0,1291786.0,1291786.0,1317656.0,186681.0,231505.0,1105105.0,1086151.0,0.0,0.0,,1185543.0,1224923.0,758161.0,16277.0,1159457.0,106243.0,92733.0,1414660.0,1340072.0,38307.0,69962.0,1376353.0,1270110.0,201900109349300415_public.xml
411690793,FAMILY CHILD DEVELOPMENT CENTER,MN,PLYMOUTH,55441,2017,2018-06-30,990,1991,"FCDCs mission is to nurture childrens early learning through play. As a community based non-profit center, we provide exceptional early childhood education by supporting the potential of every child through active partnerships with parents and families.",42.0,2.0,1125754.0,1125754.0,1219478.0,22399.0,24556.0,1098636.0,1183529.0,-5758.0,10477.0,12989.0,1153940.0,1197317.0,878954.0,0.0,999624.0,-28186.0,22161.0,1504627.0,1190946.0,985090.0,643223.0,519537.0,547723.0,201900109349300630_public.xml
221735465,Cranbury Housing Associates,NJ,Cranbury,08512,2017,2017-12-31,990,,Providing low-cost housing.,0.0,4.0,3638697.0,3638697.0,702374.0,3059876.0,128040.0,575030.0,570533.0,231.0,3560.0,3047254.0,730461.0,748286.0,0.0,0.0,725637.0,2908236.0,-45912.0,7850186.0,2183757.0,5465394.0,2717999.0,2384792.0,-534242.0,201900109349300925_public.xml
591934383,FLORIDA RURAL WATER ASSOCIATION INC,FL,TALLAHASSEE,32308,2017,2018-06-30,990,1979,"TO ASSIST SMALL RURAL WATER AND WASTEWATER SYSTEMS WITH EVERY PHASE OF WATER AND WASTEWATER OPERATIONS THROUGH EDUCATION, TRAINING AND TECHNICAL ASSISTANCE.",33.0,0.0,3517949.0,3491270.0,3521263.0,3140401.0,3061772.0,299248.0,296963.0,22432.0,29189.0,2801351.0,3216011.0,3301418.0,2056009.0,0.0,2343651.0,275259.0,219845.0,4944976.0,4727801.0,588917.0,647001.0,4356059.0,4080800.0,201900109349301140_public.xml
010317103,SENIORSPLUS,ME,LEWISTON,04240,2017,2018-06-30,990,1972,"SENIORSPLUS' MISSION IS TO ENRICH THE LIVES OF OLDER ADULTS, ADULTS WITH DISABILITIES, CAREGIVERS AND FAMILY MEMBERS BY SUPPORTING THEIR INDEPENDENCE, DIGNITY AND QUALITY OF LIFE. AS BOTH THE AGENCY ON AGING FOR ANDROSCOGGIN, FRANKLIN AND OXFORD COUNTIES AND HOME CARE COORDINATION AGENCY FOR THE STATE, SENIORSPLUS PROVIDES INFORMATION AND REFERRAL EDUCATION AND SUPPORT SERVICES IN A RELIABLE AND COORDINATED MANNER.",154.0,461.0,22507354.0,22507354.0,21961642.0,3202393.0,3185444.0,19284679.0,18764095.0,20282.0,0.0,2703923.0,22242000.0,22409633.0,6188335.0,135779.0,20991899.0,265354.0,-447991.0,7043598.0,6376342.0,3477462.0,3075560.0,3566136.0,3300782.0,201900109349301330_public.xml
770320978,CALIFORNIA-USA WRESTLING INC,CA,FRESNO,93722,2017,2018-08-31,990,,"TO PROMOTE AMATEUR WRESTLING IN ITS MANY FORMS TO CALIFORNIANS OF ALL AGES. TO ENDEAVOR TO EDUCATE THE CA PUBLIC IN WRESTLING STYLES, MAKE WRESTLING FUN & EXCITING, PROVIDE PLANNED ACTIVITIES, AND IMPROVE THE QUALITY OF CALIFORNIA WRESTLING AT THE COMPETITIVE LEVEL.",1.0,1650.0,1131277.0,1131277.0,1156736.0,221313.0,217469.0,909413.0,939006.0,551.0,0.0,,1157166.0,1134206.0,68569.0,0.0,1070870.0,-25889.0,22530.0,108149.0,134037.0,1.0,,108148.0,134037.0,201900109349301560_public.xml
