EIN,OrgName,State,City,ZIP,TaxYear,TaxPeriodEnd,FormType,FormationYr,Mission,Employees,Volunteers,GrossReceipts,TotalRevenueCY,TotalRevenuePY,ContributionsGrantsCY,ContributionsGrantsPY,ProgramServiceRevCY,ProgramServiceRevPY,InvestmentIncomeCY,OtherRevenueCY,GovernmentGrantsAmt,TotalExpensesCY,TotalExpensesPY,SalariesCY,FundraisingExpCY,ProgramSvcExpenses,NetRevenueCY,NetRevenuePY,TotalAssetsEOY,TotalAssetsBOY,TotalLiabilitiesEOY,TotalLiabilitiesBOY,NetAssetsEOY,NetAssetsBOY,SourceFile,NTEE_CD
430907114,MISSOURI SOUTHERN FOUNDATION,MO,JOPLIN,648011512,2018,2019-06-30,990,1967,"THE MISSOURI SOUTHERN FOUNDATION IS A NOT-FOR-PROFIT CORPORATION, RECEIVING AND ADMINISTERING PRIVATE AND CORPORATE CONTRIBUTIONS FOR THE SUPPORT OF MISSOURI SOUTHERN STATE UNIVERSITY. THE FOUNDATION IS GOVERNED BY A BOARD OF DIRECTORS WHICH REVIEWS ALL APPLICATIONS FOR GRANTS AND ALLOCATED FUNDS IN ACCORDANCE WITH THE WISHES OF DONORS AND ON THE BASIS OF PRIORITIES OUTLINED BY THE PRESIDENT OF THE COLLEGE, THE FOUNDATION DIRECTOR, AND THE BOARD OF DIRECTORS.",0.0,0.0,15146591.0,4540015.0,5814332.0,3255207.0,4504562.0,0.0,0.0,1284808.0,0.0,,4952342.0,3774339.0,0.0,276691.0,3782217.0,-412327.0,2039993.0,40353235.0,40238929.0,1134585.0,1107155.0,39218650.0,39131774.0,202000069349300025_public.xml,B42I
060947163,Suffield Vol Ambul Assoc Inc,CT,Suffield,06078,2018,2019-04-30,990,1991,Volunteer Ambulance service serving Suffield CT and immediately surrounding towns,8.0,,1379716.0,1003168.0,1040036.0,110863.0,155809.0,811402.0,753113.0,65792.0,15111.0,,987520.0,896176.0,107404.0,3895.0,733480.0,15648.0,143860.0,4571088.0,4455816.0,40738.0,44262.0,4530350.0,4411554.0,202000069349300050_public.xml,E62Z
237073182,TAX ANALYSTS,VA,FALLS CHURCH,22046,2018,2019-06-30,990,1971,PUBLISHING & FOSTERING TAX POLICY DEBATE.ENSURING DISCLOSURE OF TAX INFORMATION TO THE PUBLIC.,198.0,12.0,70578101.0,28383036.0,30322683.0,0.0,0.0,22674025.0,25849638.0,5527372.0,181639.0,,27927117.0,27597558.0,19541384.0,0.0,21395453.0,455919.0,2725125.0,74045865.0,75733688.0,27567010.0,26945520.0,46478855.0,48788168.0,202000069349300065_public.xml,
362948857,PADS LAKE COUNTY,IL,WAUKEGAN,60085,2018,2019-06-30,990,1987,PROVIDE EMERGENCY SHELTER AND SUPPORTIVE SERVICES TO FAMILIES WITH CHILDREN AND INDIVIDUALS EXPERIENCING HOMELESSNESS IN LAKE COUNTY.,26.0,3200.0,2337398.0,2314151.0,2263604.0,2224043.0,2242601.0,81583.0,19675.0,275.0,8250.0,454600.0,2229212.0,2129383.0,1235665.0,257718.0,1734964.0,84939.0,134221.0,1285410.0,1210884.0,135646.0,146059.0,1149764.0,1064825.0,202000069349300110_public.xml,F40Z
233043139,COMPREHENSIVE LEARNING CENTER INC,PA,WARMINSTER,18974,2018,2019-08-31,990,2000,"SEE PART III, LINE 1.",73.0,5.0,3905614.0,3905614.0,3832014.0,240757.0,334693.0,3657327.0,3498895.0,7530.0,0.0,,3843051.0,3643794.0,2852842.0,114086.0,3288985.0,62563.0,188220.0,1923463.0,1773885.0,400731.0,313716.0,1522732.0,1460169.0,202000069349300115_public.xml,B28
237055676,MASSACHUSETTS EDUCATION & CAREER,MA,WORCESTER,01608,2018,2019-06-30,990,1969,MASSEDCO PROVIDES ACCESS TO EDUCATIONAL AND CAREER OPPORTUNITIES THAT EMPOWER PEOPLE FROM DIVERSE BACKGROUNDS TO ACHIEVE THEIR POTENTIAL.,30.0,35.0,3165891.0,3135843.0,2980842.0,3105315.0,2998318.0,0.0,0.0,27039.0,3489.0,2967375.0,3204818.0,3039781.0,1171332.0,0.0,2987269.0,-68975.0,-58939.0,2205850.0,2182808.0,1418437.0,1343518.0,787413.0,839290.0,202000069349300165_public.xml,B80Z
020327002,ROCHESTER CHILD CARE CENTER INC,NH,ROCHESTER,03867,2018,2019-08-31,990,1976,TO PROVIDE HIGH QUALITY AND AFFORDABLE CHILD CARE TO WORKING FAMILIES WITHIN THE COMMUNITY.,93.0,55.0,2513464.0,2488387.0,2630768.0,969375.0,1035754.0,1492946.0,1582777.0,17101.0,8965.0,899825.0,2561483.0,2522852.0,2012950.0,0.0,2236098.0,-73096.0,107916.0,1335994.0,1388888.0,115896.0,95693.0,1220098.0,1293195.0,202000069349300170_public.xml,P33Z
251153694,Warren and Forest Counties EOC,PA,Warren,16365,2018,2019-06-30,990,1965,To serve as the official anti-poverty agency of Pennsylvanias Warren and Forest counties.,82.0,353.0,6935940.0,4877529.0,4935515.0,4390854.0,4304557.0,184871.0,,98299.0,203505.0,4357526.0,4452213.0,4136369.0,2095615.0,0.0,4085642.0,425316.0,799146.0,8659441.0,8181570.0,628913.0,576358.0,8030528.0,7605212.0,202000069349300200_public.xml,S200
311346995,FOCUS ON YOUTH INC,OH,WEST CHESTER,45069,2018,2019-06-30,990,1992,"IMPROVE THE LIVES OF CHILDREN BY PROVIDING STRENGTHS-BASED FOSTER CARE, ADOPTION, AND MENTAL HEALTH SERVICES THAT PROMOTE THE PERMANENCY, SAFETY, AND WELL-BEING OF YOUTH.",36.0,12.0,3235782.0,3138376.0,3429307.0,42591.0,27251.0,3043051.0,3366766.0,34054.0,18680.0,,3219247.0,3343372.0,1426342.0,2648.0,2861846.0,-80871.0,85935.0,1056539.0,1033375.0,280994.0,171625.0,775545.0,861750.0,202000069349300410_public.xml,P36Z
651220160,UNDERGRADUATE STUDENT GOVERNMENT AT,NY,STONY BROOK,11794,2018,2019-06-30,990,2003,TO OPERATE THE UNDERGRADUATE STUDENT GOVERNMENT AND MANAGE VARIOUS SERVICES AND ACTIVITIES FOR UNDERGRADUATE CLUBS AND PROGRAMS AT STONY BROOK UNIVERSITY.,0.0,0.0,3683322.0,3683322.0,3709693.0,10000.0,67293.0,3608875.0,3618374.0,6914.0,57533.0,,3374469.0,3521322.0,426803.0,0.0,2597596.0,308853.0,188371.0,1021768.0,703102.0,77930.0,68117.0,943838.0,634985.0,202000069349300465_public.xml,B80
