EIN,OrgName,State,City,ZIP,TaxYear,TaxPeriodEnd,FormType,FormationYr,Mission,Employees,Volunteers,GrossReceipts,TotalRevenueCY,TotalRevenuePY,ContributionsGrantsCY,ContributionsGrantsPY,ProgramServiceRevCY,ProgramServiceRevPY,InvestmentIncomeCY,OtherRevenueCY,GovernmentGrantsAmt,TotalExpensesCY,TotalExpensesPY,SalariesCY,FundraisingExpCY,ProgramSvcExpenses,NetRevenueCY,NetRevenuePY,TotalAssetsEOY,TotalAssetsBOY,TotalLiabilitiesEOY,TotalLiabilitiesBOY,NetAssetsEOY,NetAssetsBOY,SourceFile,NTEE_CD
742160691,United States Judo Inc,CO,Colorado Springs,80909,2022,2022-12-31,990,1980,As the national governing body (NGB) and member of the US Olympic Committee we enable all united states (continued on Schedule O),11.0,400.0,2268750.0,2268750.0,1945568.0,854499.0,979386.0,1394959.0,869963.0,19191.0,101.0,28917.0,2402761.0,1905595.0,667243.0,46007.0,1763248.0,-134011.0,39973.0,1229649.0,1217965.0,873711.0,613176.0,355938.0,604789.0,202343189349304139_public.xml,N70Z
133130146,GAY MEN'S HEALTH CRISIS INC,NY,NEW YORK,10118,2022,2022-12-31,990,1982,"AS THE WORLD'S FIRST HIV/AIDS SERVICE ORGANIZATION, GMHC IS WORKING TO END THE AIDS EPIDEMIC AND UPLIFT THE LIVES OF ALL AFFECTED.",181.0,1500.0,22539037.0,21248800.0,21058080.0,17985882.0,21390493.0,2550742.0,487474.0,-10578.0,722754.0,13543361.0,24311148.0,22763935.0,9806121.0,525928.0,16935161.0,-3062348.0,-1705855.0,118176885.0,121605537.0,119774897.0,120515743.0,-1598012.0,1089794.0,202343189349304149_public.xml,G810
472067153,LIFELONG SKILLS FOUNDATION INC,UT,SALT LAKE CITY,841580492,2022,2022-12-31,990,2014,PROVIDE ASSISTANCE FOR FAMILIES OF INDIVIDUALS WITH AUTISM SPECTRUM DISORDER.,27.0,6.0,1644426.0,1638881.0,1842122.0,196952.0,179800.0,1190793.0,1503159.0,317907.0,-66771.0,181452.0,1347967.0,1356390.0,990001.0,26960.0,1186210.0,290914.0,485732.0,2263298.0,2145463.0,9636.0,182715.0,2253662.0,1962748.0,202343189349304229_public.xml,G84
452633198,FRIENDS ARE BY YOUR SIDE INC,NJ,SEWELL,08080,2022,2022-12-31,990,2011,ORGANIZATION IS DEDICATED TO SUPPLYING WIGS AND FINANCIAL SUPPORT FOR CHILDREN GOING THROUGH CHEMOTHEAPY TREATMENTS,0.0,,1427749.0,1381749.0,1122566.0,1326603.0,1057751.0,0.0,,0.0,55146.0,286603.0,387479.0,853605.0,0.0,0.0,387479.0,994270.0,268961.0,1707859.0,713589.0,0.0,,1707859.0,713589.0,202343189349304299_public.xml,E86
455336275,PATRIOT VOICES INC,PA,Spring City,194751677,2022,2022-12-31,990,2012,The Organization's mission is to mobilize citizens to support public policies that reinforce America's founding principles.,1.0,0.0,1416563.0,1416563.0,2359948.0,1342376.0,2276809.0,0.0,0.0,0.0,74187.0,0.0,1021593.0,2316739.0,107693.0,127422.0,774181.0,394970.0,43209.0,351251.0,177434.0,0.0,446153.0,351251.0,-268719.0,202343189349304324_public.xml,P99
953512145,THE AMERICAN BOARD OF MEDICAL GENETICS,MD,ROCKVILLE,20852,2022,2022-12-31,990,1980,"THE MISSION OF THE ABMGG IS TO SERVE THE PUBLIC AND MEDICAL PROFESSION BY ESTABLISHING PROFESSIONAL CERTIFICATION STANDARDS AND PROMOTING LIFELONG LEARNING THROUGH AS WELL AS EXCELLENCE IN MEDICAL GENETICS AND GENOMICS. TO ACCOMPLISH THIS, THE ABMGG:1. CREDENTIALS AND CERTIFIES PRACTITIONERS OF MEDICAL GENETICS AND GENOMICS; AND2. FOSTERS LIFE-LONG LEARNING THROUGH CONTINUING CERTIFICATION.",0.0,78.0,2988721.0,1876978.0,1268506.0,0.0,0.0,1897221.0,1160702.0,-23228.0,2985.0,,1282322.0,1260159.0,370429.0,0.0,,594656.0,8347.0,3206690.0,2818271.0,0.0,0.0,3206690.0,2818271.0,202343189349304289_public.xml,
161671503,FRANKLIN CENTER,MN,GOLDEN VALLEY,55427,2022,2023-07-31,990,2004,"FRANKLIN CENTER TRANSFORMS LIVES BY ADDRESSING THE HOLISTIC ACADEMIC, SOCIAL, EMOTIONAL AND MENTAL HEALTH NEEDS OF THE NEURODIVERSE COMMUNITY.",88.0,60.0,8323697.0,8150089.0,11015661.0,2246082.0,6732812.0,5777223.0,4276500.0,110517.0,16267.0,855204.0,6367563.0,5204299.0,4616208.0,365396.0,4122731.0,1782526.0,5811362.0,17682086.0,21363631.0,1279560.0,6222528.0,16402526.0,15141103.0,202343189349304349_public.xml,B24
742619883,THE TEXAS DEMOCRACY FOUNDATION,TX,AUSTIN,78702,2022,2022-12-31,990,1991,"TO FOSTER,PROMOTE AND ENCOURAGE THE ADVANCEMENT OF PUBLIC AFFAIRS, GOVERNMENT, LITERATURE AND THE ARTS THROUGH THE PUBLICATION OF THE TEXAS OBSERVER, A BIMONTHLY PERIODICAL",20.0,20.0,1571463.0,1522025.0,1907878.0,1395253.0,1795792.0,25000.0,48772.0,40284.0,61488.0,,2142830.0,1812945.0,822875.0,168334.0,1570881.0,-620805.0,94933.0,578457.0,1291717.0,187925.0,163723.0,390532.0,1127994.0,202343189349304419_public.xml,A33M
430923158,CORNERSTONE CENTER FOR EARLY LEARNING,MO,ST LOUIS,631103709,2022,2022-12-31,990,1969,OUR PURPOSE IS TO PROVIDE THE FINEST CARE AND EDUCATION FOR CHILDREN WHO LIVE IN ST. LOUIS' NEAR SOUTH SIDE NEIGHBORHOOD.,62.0,118.0,3222991.0,3181583.0,2796631.0,2487862.0,2112869.0,598579.0,586608.0,21745.0,73397.0,1841592.0,2511283.0,2200522.0,1856765.0,205523.0,1955039.0,670300.0,596109.0,6005315.0,3447818.0,2090731.0,200872.0,3914584.0,3246946.0,202343189349304409_public.xml,
611352670,SOCAYR INC,KY,LOUISVILLE,40203,2022,2022-12-31,990,2001,THE ORGANIZATION HAS BEEN ESTABLISHED TO FOSTER THE EMPOWERMENT OF AFFORDABLE HOUSING.,0.0,7.0,13761199.0,13451969.0,6749829.0,889853.0,892490.0,12177975.0,4749245.0,307419.0,76722.0,889853.0,9880046.0,5455379.0,1385910.0,0.0,9625812.0,3571923.0,1294450.0,41734028.0,34945508.0,24565049.0,21348452.0,17168979.0,13597056.0,202343189349303944_public.xml,L21
